newid,Institution of highest degree obtained
622820,"University of California, Davis"
659865,Stanford University Graduate School of Business
772509,-
639740,Brown University
848549,-
420451,Northwestern University
966702,"University of California, Berkeley"
192373,-
531178,Northwestern University
35487,Texas A&M University
747568,-
146238,The University of Kansas
607540,Southern Methodist University - Cox School of Business
708593,University of California
74640,-
909135,-
835323,University of Pennsylvania
552114,Instituto Tecnológico Autónomo de México
281119,University of Michigan
169031,Georgetown University
563513,University of Michigan
842092,-
403728,-
403138,Harvard University
810654,-
174902,Duke University
978654,University of Oxford
842525,University of Maryland College Park
739763,Cornell University
598080,-
585017,"University of California, Los Angeles"
159623,Rockhurst University
971317,University of Illinois Urbana-Champaign
901260,Stanford University
313089,George Mason University
